temperature_c,humidity_pct,gas_ppm,hours_elapsed,freshness_score
31.54,59.75,157.73,5.33,61.41
5.41,50.46,41.7,25.81,82.62
13.47,42.16,15.71,8.34,96.31
23.57,47.68,627.98,62.14,3.83
17.23,66.53,510.54,44.88,11.26
22.51,83.6,493.49,23.82,15.49
4.44,69.38,27.97,4.58,100.0
10.74,56.51,73.86,22.39,70.33
14.3,71.38,219.76,23.41,44.14
3.87,58.57,151.98,52.53,50.19
15.45,55.28,410.4,45.9,20.56
4.54,48.84,216.97,63.88,39.59
2.11,40.47,36.2,34.0,87.81
12.57,59.54,38.3,8.61,92.07
2.65,67.21,153.4,51.35,51.29
23.16,63.65,648.23,54.78,1.94
24.35,59.18,595.69,40.41,6.46
20.47,51.76,618.41,55.51,2.52
2.57,73.52,79.89,35.55,66.76
4.17,46.56,75.07,37.64,69.21
6.08,75.86,106.52,30.78,61.5
22.67,50.97,21.22,1.83,100.0
20.65,54.47,31.03,7.77,85.31
6.68,44.47,20.18,2.26,94.68
33.74,57.98,650.0,45.82,5.55
4.77,78.65,39.28,22.63,79.22
7.77,72.22,194.92,36.62,45.08
23.01,78.7,650.0,65.34,2.07
32.25,72.31,649.15,17.95,8.02
20.71,49.55,446.37,29.55,20.51
21.68,60.37,601.84,54.4,5.09
13.94,54.08,85.27,16.47,72.82
20.51,83.63,40.95,5.54,84.98
4.6,48.24,27.07,20.86,88.07
35.37,77.51,650.0,11.61,7.46
14.46,77.5,537.7,66.94,6.7
23.8,90.61,650.0,58.18,2.8
14.39,59.26,394.07,45.61,20.64
24.22,74.97,634.45,62.75,3.49
16.22,95.0,550.07,57.86,5.32
22.03,56.35,189.2,13.43,52.71
1.84,43.51,134.33,64.26,55.76
3.35,38.68,52.8,38.83,72.64
3.05,74.98,232.5,58.14,36.59
3.25,38.64,163.96,64.52,48.02
30.13,59.79,598.19,22.9,10.48
3.8,71.12,25.37,7.92,100.0
33.94,67.59,640.64,16.41,8.93
11.14,70.96,198.25,30.75,46.02
3.43,68.11,220.44,58.9,38.05
22.58,82.9,640.5,61.97,2.66
19.6,51.67,30.65,0.5,99.69
15.0,55.52,327.94,36.77,29.68
21.9,54.18,468.58,30.05,16.67
22.4,76.62,339.4,15.99,31.64
1.62,77.61,27.94,8.63,99.39
31.49,71.32,650.0,24.31,6.53
31.83,81.57,650.0,67.89,0.0
27.74,48.51,560.99,23.27,13.47
4.9,88.34,188.67,37.35,46.07
20.28,86.33,646.03,50.62,0.0
2.71,75.3,41.47,26.18,80.31
4.29,89.95,321.81,69.97,20.92
6.49,41.81,264.61,69.3,32.98
16.12,57.66,152.76,18.13,55.85
32.24,54.71,650.0,35.8,1.71
25.43,75.1,587.16,21.66,8.46
24.49,50.3,376.71,20.51,28.49
9.59,75.6,12.0,2.66,97.16
14.2,84.19,427.39,43.89,16.44
12.39,74.73,309.33,36.19,30.86
32.66,68.97,111.15,3.71,72.36
2.9,51.17,28.17,20.06,89.62
31.7,53.14,650.0,65.4,1.51
23.06,82.49,435.8,17.25,22.4
13.32,75.91,36.06,10.43,84.99
26.02,64.45,640.92,35.24,4.51
14.26,59.15,544.16,70.97,4.48
32.56,36.64,629.11,17.43,9.74
36.1,50.01,650.0,48.39,1.25
12.43,91.76,498.71,54.84,8.53
1.0,47.07,16.99,17.11,94.88
23.24,67.65,617.61,52.43,4.94
34.56,79.1,650.0,26.48,4.58
3.66,47.43,91.24,45.53,63.13
23.28,67.59,622.59,45.61,3.84
22.39,78.13,583.22,38.58,7.14
24.95,65.17,94.88,6.5,72.61
5.32,95.0,341.37,60.14,21.05
24.69,41.64,398.68,23.1,24.2
34.26,79.82,636.86,13.43,10.36
6.35,62.58,30.18,2.94,95.49
2.52,75.81,113.67,42.54,55.89
30.82,71.18,650.0,48.78,0.0
4.6,54.74,33.97,1.19,100.0
29.69,68.21,650.0,36.87,3.7
12.01,38.99,43.63,16.31,87.52
3.44,73.45,159.36,46.45,49.17
34.48,69.17,620.71,12.55,11.02
13.58,73.94,426.85,49.75,16.76
11.11,79.81,212.52,27.84,45.17
11.11,70.15,424.44,67.44,14.72
21.25,67.07,96.32,9.9,68.38
3.87,52.67,47.08,24.56,83.45
14.99,55.03,35.15,8.17,89.06
34.28,81.61,650.0,66.58,0.0
7.17,85.11,366.22,63.17,19.06
19.86,61.67,234.76,18.57,44.37
10.97,65.64,305.04,47.52,29.2
22.09,52.34,589.95,58.84,6.18
2.2,81.42,90.46,39.97,61.81
35.83,74.32,650.0,38.13,0.0
14.97,92.18,200.01,17.41,45.89
4.3,52.7,27.31,6.7,100.0
4.56,59.71,244.41,64.6,35.95
5.3,68.24,277.89,64.83,28.57
14.52,74.05,454.02,45.58,15.6
9.7,61.98,110.22,24.41,67.33
20.9,52.78,352.31,25.14,29.74
12.01,77.34,403.59,52.27,17.93
4.12,75.1,293.15,64.59,30.58
22.37,52.17,591.41,63.87,5.34
24.97,83.98,650.0,56.15,2.7
4.37,81.38,206.6,46.23,41.45
3.53,66.88,31.92,6.06,100.0
4.32,66.11,28.61,11.64,92.79
21.59,72.76,597.38,64.7,4.83
22.41,52.94,597.91,43.66,5.03
16.13,65.42,23.71,0.66,100.0
22.62,34.87,41.54,7.31,84.36
24.2,77.27,628.9,47.77,4.15
18.01,43.14,22.7,0.36,99.92
30.43,86.05,541.58,11.58,14.53
3.59,60.38,96.62,39.51,66.22
4.75,62.04,177.48,49.82,45.93
3.56,56.21,100.56,46.94,60.26
4.45,60.97,25.13,16.15,92.37
11.34,84.86,423.83,51.28,15.76
31.4,30.17,515.1,17.08,17.25
3.96,82.88,57.91,23.43,76.57
5.35,69.73,235.98,53.75,35.67
12.48,48.1,325.52,46.77,29.99
27.74,49.95,644.36,61.14,5.4
14.52,88.47,507.59,47.35,8.58
15.22,51.76,348.76,40.92,26.33
3.94,48.85,23.56,6.74,94.4
1.87,80.92,56.99,26.48,77.03
30.98,69.74,650.0,19.09,6.44
34.59,51.87,650.0,17.57,5.4
5.51,68.03,348.26,70.06,20.9
30.79,50.64,644.94,28.3,6.51
21.29,80.41,630.39,64.23,1.8
33.67,79.86,650.0,45.44,1.52
12.95,72.45,459.1,57.23,13.68
12.19,70.06,297.02,36.19,32.22
16.63,89.66,494.1,41.54,11.13
22.92,65.0,584.35,35.46,8.52
2.91,48.45,25.03,14.06,93.86
3.22,71.29,156.61,52.02,48.32
17.33,94.2,347.25,20.22,29.16
24.9,50.79,33.52,1.75,96.71
3.29,59.94,123.46,46.47,57.67
21.52,70.83,204.21,12.75,49.19
31.5,64.25,650.0,67.71,0.0
5.65,51.25,262.71,68.68,32.65
18.75,80.71,593.47,65.87,3.95
15.65,95.0,385.26,26.65,21.28
32.84,67.75,30.22,1.11,96.67
1.44,52.34,157.52,66.84,51.44
23.74,43.31,489.29,30.83,16.09
21.23,68.61,569.69,69.6,7.04
29.02,80.45,650.0,69.38,3.15
20.12,71.65,566.75,61.42,6.14
13.69,64.97,141.38,21.2,54.37
21.25,56.75,419.74,27.73,22.15
32.22,49.71,650.0,61.28,0.72
22.13,76.69,473.88,22.82,17.19
7.77,77.79,28.8,12.2,90.59
24.22,43.36,559.21,40.09,10.36
21.29,87.26,628.63,67.4,2.86
18.09,73.04,566.48,50.11,5.48
5.27,84.59,181.64,41.04,45.35
24.29,46.21,60.96,7.0,79.72
11.72,45.88,278.89,44.28,34.76
25.05,62.91,650.0,71.28,0.77
4.27,72.04,18.6,10.09,96.11
23.8,90.15,608.15,37.32,5.74
31.51,74.89,650.0,63.17,0.0
3.93,61.6,144.53,53.34,51.16
27.76,50.63,650.0,50.19,0.0
11.67,82.22,429.67,50.58,14.03
35.14,51.49,650.0,25.88,4.22
20.22,87.8,406.59,21.14,23.49
22.1,61.02,617.1,58.27,3.5
22.49,87.27,643.14,58.33,1.87
34.02,74.51,650.0,62.43,1.26
14.65,63.08,509.0,65.75,8.1
14.42,57.73,306.99,36.82,31.8
23.7,60.23,549.84,36.11,10.01
23.84,71.0,634.66,57.48,4.29
21.03,66.08,593.81,46.8,4.2
22.66,56.69,607.3,50.54,4.87
16.58,62.68,523.31,57.3,7.98
23.41,66.1,650.0,64.08,0.0
4.34,35.2,26.98,24.34,89.7
14.93,71.41,285.13,27.04,34.5
4.63,51.28,28.62,6.77,100.0
10.19,48.85,235.84,41.64,39.67
15.81,41.38,30.03,2.59,100.0
11.3,39.89,158.82,33.52,51.85
25.41,46.02,588.92,39.07,7.46
12.66,55.07,88.48,20.63,69.34
14.05,92.35,477.42,42.54,11.44
4.77,57.64,26.97,2.2,100.0
17.89,67.49,27.97,2.69,95.83
4.67,70.61,234.54,59.23,36.98
4.11,66.83,35.86,25.93,79.57
23.91,63.92,149.67,9.15,62.26
24.08,48.27,580.4,37.6,8.21
22.67,85.31,623.35,55.44,4.05
20.34,90.3,313.44,15.54,33.33
14.83,41.44,380.13,44.85,23.3
33.21,50.66,186.95,6.15,54.95
13.1,61.08,29.92,3.72,96.19
14.68,51.5,298.72,38.26,32.72
3.76,72.08,119.0,38.93,58.28
15.45,54.8,415.84,45.89,19.9
12.79,95.0,475.6,52.28,10.02
17.45,81.67,604.38,70.26,1.16
25.32,67.98,629.02,37.17,5.14
14.01,79.38,229.97,23.25,44.9
23.32,80.48,649.2,57.25,1.7
20.78,57.1,270.32,19.5,40.48
25.31,53.57,549.14,31.61,11.84
23.9,66.09,62.45,5.65,85.18
35.95,77.06,38.38,1.83,86.49
3.82,66.95,285.86,69.31,28.42
3.77,42.92,151.65,60.19,48.72
5.36,53.76,147.2,50.11,49.1
21.61,63.96,479.21,29.44,16.62
29.53,63.94,477.34,12.48,21.09
4.71,92.62,23.86,11.26,92.87
36.54,45.6,650.0,18.02,6.99
1.0,72.08,99.72,39.54,68.35
34.42,85.85,650.0,51.45,3.24
14.6,95.0,502.69,47.53,9.84
4.79,59.34,23.55,20.16,90.69
14.97,71.88,543.8,68.75,5.8
4.23,72.98,200.08,53.13,41.96
3.98,67.74,95.96,39.91,63.21
14.43,63.62,399.61,44.04,22.09
21.54,71.1,547.26,30.21,10.58
15.35,30.0,74.64,17.84,74.08
12.14,74.55,178.05,25.63,47.11
23.09,66.77,615.33,54.56,4.34
23.43,61.89,49.11,1.04,100.0
3.53,93.66,22.05,8.36,94.95
12.27,55.55,33.23,3.31,99.41
5.35,59.36,35.0,2.93,95.36
5.14,92.88,323.5,61.59,24.11
22.89,53.35,613.61,50.66,4.04
3.07,57.3,39.71,34.14,75.31
11.08,62.94,31.34,7.04,95.57
23.12,76.77,558.06,35.4,9.19
4.49,67.91,115.71,34.09,59.63
25.9,46.9,224.28,12.47,47.07
2.83,57.55,46.29,31.24,79.05
31.38,56.5,650.0,28.69,3.44
14.47,63.92,384.08,44.34,22.57
24.64,70.96,650.0,45.73,1.49
22.88,70.85,38.95,3.26,96.45
2.34,40.14,23.97,26.97,89.77
24.38,79.9,598.01,45.06,5.84
34.95,68.54,650.0,36.23,0.0
20.43,84.38,635.58,61.67,0.99
23.3,71.22,598.4,47.43,6.31
29.12,80.42,454.99,11.73,23.95
3.25,71.53,21.23,5.08,95.97
5.03,83.85,231.29,46.25,37.33
26.12,72.31,21.97,1.91,98.04
15.21,63.63,409.41,42.18,20.58
22.06,95.0,650.0,67.7,0.0
29.86,77.45,650.0,41.43,0.0
14.51,73.03,262.81,27.95,35.9
5.14,47.13,149.42,46.32,54.51
20.8,46.96,488.14,32.99,14.09
4.62,69.1,149.91,39.28,51.02
21.2,67.04,604.41,67.79,4.51
17.18,56.4,296.33,27.8,33.54
20.32,66.97,606.32,69.21,2.49
4.87,87.24,300.5,65.19,24.68
20.93,74.74,224.36,14.1,47.21
13.49,49.03,21.25,4.99,100.0
21.76,63.44,89.29,7.26,77.73
4.62,53.73,14.76,1.31,99.9
19.69,59.57,40.04,6.8,84.52
30.42,59.21,650.0,49.18,1.0
3.23,58.31,23.65,5.13,98.97
4.52,47.43,26.88,22.97,89.07
4.96,63.21,250.83,60.83,35.05
22.53,57.15,21.18,1.68,100.0
24.3,30.0,596.95,58.64,6.07
14.97,93.74,210.38,20.29,43.85
4.91,80.24,12.0,8.51,96.21
11.1,59.73,359.08,50.17,22.75
20.68,65.26,559.86,45.28,7.8
12.65,48.6,439.49,63.18,14.31
30.62,88.74,650.0,52.93,3.91
5.43,91.56,344.98,57.85,22.43
25.54,67.19,504.74,20.31,15.96
15.03,79.33,73.73,12.78,70.22
15.37,67.45,477.14,54.04,12.18
23.52,46.29,624.76,58.09,3.64
24.56,59.23,650.0,71.32,0.27
29.25,66.85,611.64,29.71,8.31
4.85,58.64,49.25,26.79,77.35
4.42,61.94,198.02,55.9,42.23
21.18,63.72,396.79,24.54,24.27
24.21,63.87,650.0,67.01,0.0
5.28,65.73,264.51,61.81,32.85
3.97,50.15,47.93,30.89,76.82
2.94,54.96,139.35,54.06,55.39
35.18,47.02,650.0,54.33,0.0
3.8,78.69,12.0,7.42,99.66
12.85,35.52,394.0,64.98,20.49
3.11,81.15,92.92,36.38,62.84
13.34,84.41,501.47,59.5,8.93
3.19,60.77,15.59,23.04,86.5
10.16,30.0,341.59,64.48,26.18
3.83,59.94,45.27,28.02,83.07
20.32,64.1,16.81,0.78,98.33
3.05,50.85,184.3,65.19,42.43
12.71,57.79,38.13,6.57,97.71
31.33,86.42,650.0,22.99,2.12
24.28,74.31,650.0,68.4,0.0
15.46,52.06,531.45,68.44,5.48
14.77,42.63,341.5,41.29,27.31
14.6,60.42,416.48,45.49,18.51
22.84,62.01,539.92,32.29,11.76
32.92,71.95,647.95,21.11,7.03
23.61,57.51,433.89,23.66,20.98
20.15,72.16,586.14,48.42,5.52
20.71,92.09,629.48,54.17,2.37
13.61,76.42,465.13,56.99,11.44
3.63,64.33,186.24,56.85,45.91
23.69,62.44,62.02,6.57,80.0
30.52,60.01,650.0,35.6,1.93
1.73,81.53,21.21,4.14,97.43
20.6,56.22,537.06,39.57,8.32
4.26,65.63,65.84,31.79,72.59
13.52,65.72,483.67,63.91,11.5
4.0,57.98,30.37,25.27,84.77
12.05,45.79,24.0,8.43,95.11
23.43,69.52,149.4,10.3,59.28
15.04,64.15,474.25,54.83,10.44
19.77,72.0,548.75,44.51,9.64
24.2,57.53,68.53,7.28,76.02
27.27,82.09,146.54,6.06,61.95
3.02,52.73,111.59,50.47,59.5
14.43,88.97,37.21,5.24,95.16
4.79,40.53,169.46,59.17,48.74
32.7,71.09,650.0,50.85,0.93
27.03,71.66,92.35,5.86,70.76
14.58,53.86,31.71,6.11,100.0
20.03,70.94,570.08,71.04,5.32
12.34,82.91,236.7,26.95,41.36
23.6,33.96,418.26,26.69,22.93
5.13,72.04,261.3,58.52,34.27
23.75,30.09,620.15,68.2,4.69
2.07,51.48,190.55,70.99,43.64
21.11,87.81,627.42,54.24,2.21
23.66,56.86,489.58,27.09,15.3
23.02,48.57,52.77,6.01,80.68
3.08,62.23,171.98,55.95,47.76
8.76,93.95,325.38,40.21,26.22
3.08,39.36,39.92,30.54,88.12
15.91,50.28,516.64,65.26,9.26
2.87,85.96,16.13,8.01,95.16
31.82,91.01,650.0,35.47,1.14
21.42,63.55,29.57,0.82,97.53
12.45,47.65,183.74,33.74,46.29
11.6,94.34,37.53,4.05,98.26
15.03,87.32,44.81,8.55,85.78
20.48,74.51,93.89,8.46,72.49
12.64,53.63,336.21,46.74,25.56
28.44,64.31,650.0,53.72,0.0
15.83,62.75,435.65,42.0,19.21
37.17,69.63,650.0,69.28,1.33
34.37,85.31,650.0,26.99,2.82
5.0,77.31,43.53,20.57,81.86
32.27,49.92,650.0,62.54,1.7
3.77,84.27,29.52,16.1,92.65
18.57,69.38,603.56,69.35,3.09
14.86,74.62,21.31,0.88,100.0
35.29,85.53,650.0,69.83,0.0
29.8,49.44,29.81,3.11,89.22
23.2,64.5,627.9,64.16,2.57
19.37,57.56,462.02,37.99,16.89
15.0,43.05,506.69,71.49,9.34
3.68,69.85,16.66,5.31,98.76
10.49,95.0,379.16,39.88,21.11
1.6,39.24,151.0,69.79,51.01
22.69,64.55,573.53,37.66,8.64
16.17,73.97,521.48,45.32,8.56
33.41,66.72,650.0,50.09,3.58
21.97,63.42,537.81,32.73,10.6
23.86,46.81,597.73,45.18,8.0
4.76,68.26,151.18,42.07,50.51
32.52,54.41,650.0,64.88,2.11
32.69,34.34,42.93,3.27,89.75
14.07,81.72,171.67,20.23,50.24
21.9,78.42,650.0,68.43,0.0
21.84,65.72,620.01,64.1,3.4
2.51,68.21,74.41,32.81,71.62
12.69,80.04,429.22,44.65,17.04
13.82,68.14,128.27,19.97,60.8
4.07,77.66,19.68,13.54,94.77
9.59,60.84,175.27,33.39,50.75
4.33,83.37,72.02,25.44,71.0
5.63,69.49,164.12,42.02,50.6
2.43,67.72,12.0,5.6,99.41
35.31,47.22,650.0,70.16,0.0
14.4,69.02,505.89,71.01,8.49
33.9,53.35,650.0,50.27,0.87
11.24,56.06,233.69,38.6,41.24
10.52,53.58,86.47,22.29,69.44
10.15,50.07,401.93,58.59,17.85
15.95,94.75,525.02,49.3,7.4
1.0,83.64,33.82,11.71,97.02
23.96,91.89,650.0,65.59,0.0
4.22,47.88,189.63,59.22,44.65
23.17,66.0,588.81,68.39,8.06
23.13,46.89,611.2,52.25,4.59
6.16,55.26,140.33,44.17,53.38
5.49,52.15,65.28,30.11,73.68
23.44,82.35,650.0,67.16,0.0
12.12,59.45,437.61,62.36,14.35
4.25,79.96,26.2,3.26,99.09
32.75,73.46,42.36,1.9,91.22
3.41,95.0,74.32,27.11,67.7
19.43,44.29,552.49,58.36,8.23
27.7,82.63,650.0,71.08,0.29
4.97,81.05,28.43,10.83,91.86
2.83,51.37,84.61,42.78,69.21
4.57,79.1,78.2,27.42,66.57
16.87,69.71,618.51,69.83,0.23
4.61,61.82,213.19,60.63,38.75
24.01,53.46,619.59,60.36,4.08
5.27,54.93,73.48,33.75,69.45
12.32,93.7,334.29,29.87,26.21
29.5,65.01,601.87,19.69,9.38
23.72,75.95,38.15,4.06,89.02
20.47,53.93,638.74,62.26,1.27
9.74,54.08,351.58,58.53,22.99
22.01,80.15,612.89,71.98,3.02
11.04,46.11,397.99,71.76,19.51
16.22,59.19,420.32,39.99,18.6
7.31,65.48,276.57,55.37,31.85
31.68,66.56,650.0,68.02,0.0
13.16,62.49,452.22,61.17,13.95
4.47,70.54,41.75,17.81,86.97
12.29,74.7,277.77,32.44,35.13
13.85,75.28,33.02,9.3,86.47
22.42,51.2,611.66,68.69,5.91
22.23,61.02,607.44,43.64,4.83
23.17,81.73,379.76,16.46,27.62
3.39,77.53,187.64,48.36,45.36
14.6,45.78,371.54,44.51,24.12
15.96,69.92,294.85,25.79,34.66
3.97,37.3,41.38,8.18,97.1
1.88,65.66,112.41,48.35,58.45
25.36,91.57,649.58,37.46,2.92
3.17,51.73,141.0,55.61,53.25
16.69,53.32,398.75,37.45,22.91
3.51,75.7,226.72,61.36,35.47
3.37,43.4,44.41,39.74,74.98
4.18,56.14,101.04,40.39,61.67
32.24,73.35,650.0,63.12,2.39
24.66,56.12,570.44,29.05,9.29
29.06,61.7,280.26,9.65,42.62
12.71,75.42,18.38,2.07,100.0
3.01,70.9,196.38,54.37,40.35
10.58,68.74,319.91,44.66,27.98
12.59,60.25,408.91,50.69,19.0
19.88,70.18,210.31,15.33,46.16
5.35,63.27,28.63,9.82,99.8
14.07,71.41,31.93,1.05,98.46
4.0,58.04,50.25,25.24,81.74
11.38,62.44,314.0,42.47,30.39
23.74,51.14,501.18,28.24,17.11
11.39,64.51,206.59,31.5,44.45
14.26,53.65,461.08,65.1,13.66
13.39,49.4,133.57,25.07,58.37
13.57,68.62,383.7,37.01,21.82
25.16,67.98,650.0,56.42,0.97
38.0,75.96,650.0,28.55,0.0
35.94,58.96,650.0,44.79,1.82
23.27,70.71,650.0,62.09,0.0
11.83,72.71,435.63,68.37,15.56
24.68,71.23,208.89,10.59,49.79
12.99,53.44,464.45,66.71,13.04
3.99,67.09,81.58,35.43,68.73
26.52,70.1,462.01,18.59,22.01
3.61,65.1,63.79,33.06,73.62
33.57,35.79,650.0,70.56,2.72
11.47,67.25,278.3,35.47,36.92
24.55,95.0,588.9,23.67,8.25
23.0,59.96,615.32,45.6,4.54
32.19,54.81,624.45,17.29,9.83
24.59,70.23,60.27,5.46,79.81
22.79,69.37,156.39,9.28,61.34
4.19,81.7,24.45,9.22,96.43
15.46,47.39,46.22,10.94,82.84
4.99,75.24,17.13,10.0,96.42
22.55,73.27,621.72,46.14,4.37
15.78,63.01,77.14,13.1,75.1
21.8,69.74,466.35,24.89,17.42
2.96,79.41,224.24,64.57,38.12
3.21,77.21,66.18,34.13,68.89
25.63,49.0,650.0,48.06,1.38
3.64,76.48,27.03,12.41,95.21
2.38,64.09,36.56,13.84,94.38
3.02,66.02,16.36,2.94,97.61
31.45,66.02,514.65,12.16,17.63
20.86,62.9,307.61,20.06,34.26
9.44,81.68,32.02,12.74,83.91
3.43,63.83,31.82,6.39,100.0
11.46,49.33,36.88,8.69,97.4
25.56,59.49,568.84,33.18,10.49
23.5,67.5,329.13,14.86,34.84
5.05,82.21,73.97,26.23,70.95
4.32,73.44,103.98,36.25,61.91
4.23,53.09,141.35,49.71,52.98
19.7,95.0,28.19,2.83,94.37
23.24,68.71,585.67,57.56,6.27
5.02,82.86,213.0,45.21,40.83
3.84,62.88,21.64,5.89,100.0
4.47,72.47,290.82,62.9,28.84
29.53,76.75,650.0,66.3,0.0
3.88,82.05,21.05,4.4,98.11
18.3,79.8,296.49,19.94,34.4
23.75,77.21,650.0,58.05,0.0
10.21,60.59,352.62,53.87,24.17
4.32,57.0,18.46,13.29,91.71
3.3,69.66,28.13,15.07,90.93
24.27,78.06,550.74,26.67,11.3
21.32,61.88,502.84,34.89,13.34
22.75,79.91,624.04,44.51,3.19
12.07,85.34,254.51,26.56,38.08
1.07,52.17,34.44,33.3,80.84
32.2,53.28,650.0,53.82,0.22
26.41,63.03,24.51,2.64,96.52
3.84,69.31,34.93,18.18,91.59
32.67,57.66,650.0,51.36,0.0
21.49,83.93,648.81,64.45,0.0
20.38,70.94,530.78,36.84,10.95
25.46,65.55,644.52,38.31,3.15
26.43,44.9,108.14,7.72,70.3
22.51,46.58,454.79,32.21,18.42
5.71,68.93,135.81,38.35,56.13
13.32,35.14,46.92,17.46,80.18
28.77,79.18,630.85,19.39,6.71
5.11,62.79,47.78,27.16,76.91
10.31,95.0,30.39,1.45,100.0
11.47,95.0,205.4,23.19,44.1
11.29,62.46,46.05,15.22,84.52
24.52,63.51,469.8,23.58,18.76
32.87,78.94,412.96,8.62,28.85
5.16,88.84,342.15,64.12,21.54
5.48,42.07,93.43,42.74,63.78
4.11,39.99,95.49,48.9,64.6
31.6,56.29,650.0,56.82,1.94
25.18,73.16,632.08,35.89,3.99
4.24,71.96,31.28,6.26,97.83
21.02,79.98,577.29,38.67,7.65
27.04,48.2,650.0,42.25,1.59
21.53,32.57,558.24,53.67,7.7
29.76,77.01,650.0,31.08,5.56
3.26,53.41,20.66,9.19,93.57
24.96,36.74,359.95,20.43,32.46
13.96,67.03,207.41,26.14,46.01
25.87,76.1,650.0,46.51,1.44
23.63,63.29,581.88,41.1,7.12
20.74,58.59,407.16,25.64,24.31
26.47,62.77,644.97,71.03,3.87
3.62,59.81,101.84,43.62,62.42
13.65,46.13,81.63,17.08,73.33
30.92,54.99,194.93,7.33,53.94
36.91,72.3,648.55,11.01,10.02
4.74,69.5,30.72,17.71,88.84
5.44,67.35,30.91,11.57,93.41
3.83,51.07,26.37,13.43,99.97
21.44,62.46,328.13,20.53,32.65
21.83,34.52,111.83,12.48,66.54
3.46,67.5,254.39,64.57,32.41
11.91,85.0,16.09,5.78,94.73
23.18,44.36,539.81,37.76,11.66
25.61,56.8,581.51,29.55,10.44
13.89,69.61,485.52,70.73,10.04
24.21,82.54,135.62,8.07,61.24
12.3,58.72,163.27,28.65,51.62
4.0,55.31,242.5,69.8,35.92
23.33,37.44,650.0,62.32,1.06
23.43,66.45,643.91,58.83,2.21
33.45,93.59,650.0,18.57,6.13
22.59,68.88,206.74,12.3,49.82
23.62,64.69,600.15,48.14,5.22
4.72,69.51,296.43,66.92,27.54
12.9,64.84,364.13,40.09,24.55
2.27,53.62,61.19,41.16,70.7
1.24,76.53,15.56,20.16,90.5
17.44,68.16,570.86,55.4,5.88
28.53,65.25,430.26,13.47,24.65
3.34,51.34,42.25,23.3,86.48
17.18,83.25,411.07,30.63,20.78
21.91,74.31,575.86,36.55,7.22
2.54,57.26,25.53,17.45,96.93
22.98,79.03,99.42,8.27,68.05
20.2,58.03,543.16,43.96,9.36
